model,timestamp,loss,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,peak_mae,dataset,window,horizon
MSAGATNet,20250422_193913,2.1293303309331187e-05,364.99387,341.74246,1109.607194010565,798.05176,0.8713876414989565,0.8911407916731945,0.7076056311144993,0.734909425185793,302.16257,japan,20,5
MSAGATNET,20250422_201900,2.1293303309331187e-05,364.9938659667969,341.7424621582031,1109.607194010565,798.0517578125,0.8713876414989565,0.8911407916731945,0.7076056311144993,0.734909425185793,302.1625671386719,japan,20,5
